TIME = 2019-04-07T18:59:50.000Z	 LON = -77.064006667	 LAT = 38.851338333	 ALT = 115.3	 SPEED = 0.2G (raw) -0.32,-0.22,0.83
TIME = 2019-04-07T18:59:51.000Z	 LON = -77.064006667	 LAT = 38.851336667	 ALT = 115.3	 SPEED = 0.2G (raw) -0.32,-0.25,0.91
TIME = 2019-04-07T18:59:52.000Z	 LON = -77.064008333	 LAT = 38.851335	 ALT = 115.3	 SPEED = 0.2G (raw) -0.32,-0.23,0.84
TIME = 2019-04-07T18:59:53.000Z	 LON = -77.064008333	 LAT = 38.851331667	 ALT = 115.3	 SPEED = 0.2G (raw) -0.32,-0.22,0.88
TIME = 2019-04-07T18:59:54.000Z	 LON = -77.064008333	 LAT = 38.85133	 ALT = 115.3	 SPEED = 0.2G (raw) -0.31,-0.22,0.87
TIME = 2019-04-07T18:59:55.000Z	 LON = -77.064008333	 LAT = 38.851328333	 ALT = 115.3	 SPEED = 0.2G (raw) -0.30,-0.26,0.85
TIME = 2019-04-07T18:59:56.000Z	 LON = -77.06401	 LAT = 38.851326667	 ALT = 115.3	 SPEED = 0.2G (raw) -0.30,-0.27,0.92
TIME = 2019-04-07T18:59:57.000Z	 LON = -77.06401	 LAT = 38.851325	 ALT = 115.3	 SPEED = 0.2G (raw) -0.29,-0.29,0.88
TIME = 2019-04-07T18:59:58.000Z	 LON = -77.064011667	 LAT = 38.851323333	 ALT = 115.3	 SPEED = 0.2G (raw) -0.30,-0.25,0.87
TIME = 2019-04-07T18:59:59.000Z	 LON = -77.064011667	 LAT = 38.851321667	 ALT = 115.2	 SPEED = 0.2G (raw) -0.30,-0.26,0.94
TIME = 2019-04-07T19:00:00.000Z	 LON = -77.064011667	 LAT = 38.85132	 ALT = 115.2	 SPEED = 0.2G (raw) -0.31,-0.27,0.84
TIME = 2019-04-07T19:00:01.000Z	 LON = -77.064011667	 LAT = 38.851318333	 ALT = 115.2	 SPEED = 0.1G (raw) -0.31,-0.23,0.84
TIME = 2019-04-07T19:00:02.000Z	 LON = -77.064011667	 LAT = 38.851316667	 ALT = 115.2	 SPEED = 0.2G (raw) -0.32,-0.23,0.88
TIME = 2019-04-07T19:00:03.000Z	 LON = -77.064011667	 LAT = 38.851315	 ALT = 115.2	 SPEED = 0.3G (raw) -0.30,-0.23,0.88
TIME = 2019-04-07T19:00:04.000Z	 LON = -77.064013333	 LAT = 38.851313333	 ALT = 115.2	 SPEED = 0.3G (raw) -0.32,-0.24,0.88
TIME = 2019-04-07T19:00:05.000Z	 LON = -77.064015	 LAT = 38.851311667	 ALT = 115.2	 SPEED = 0.3G (raw) -0.31,-0.20,0.85
TIME = 2019-04-07T19:00:06.000Z	 LON = -77.064016667	 LAT = 38.851308333	 ALT = 115.2	 SPEED = 0.2G (raw) -0.29,-0.23,0.85
TIME = 2019-04-07T19:00:07.000Z	 LON = -77.064018333	 LAT = 38.851306667	 ALT = 115.2	 SPEED = 0.2G (raw) -0.32,-0.22,0.84
TIME = 2019-04-07T19:00:08.000Z	 LON = -77.064018333	 LAT = 38.851305	 ALT = 115.2	 SPEED = 0.2G (raw) -0.31,-0.26,0.91
TIME = 2019-04-07T19:00:09.000Z	 LON = -77.06402	 LAT = 38.851303333	 ALT = 115.2	 SPEED = 0.2G (raw) -0.31,-0.26,0.90
TIME = 2019-04-07T19:00:10.000Z	 LON = -77.064021667	 LAT = 38.851301667	 ALT = 115.2	 SPEED = 0.2G (raw) -0.33,-0.26,0.86
TIME = 2019-04-07T19:00:11.000Z	 LON = -77.064021667	 LAT = 38.851301667	 ALT = 115.2	 SPEED = 0.1G (raw) -0.28,-0.29,0.93
TIME = 2019-04-07T19:00:12.000Z	 LON = -77.064021667	 LAT = 38.8513	 ALT = 115.2	 SPEED = 0.1G (raw) -0.30,-0.25,0.92
TIME = 2019-04-07T19:00:13.000Z	 LON = -77.064021667	 LAT = 38.8513	 ALT = 115.2	 SPEED = 0.1G (raw) -0.29,-0.21,0.84
TIME = 2019-04-07T19:00:14.000Z	 LON = -77.064021667	 LAT = 38.8513	 ALT = 115.2	 SPEED = 0.1G (raw) -0.33,-0.21,0.90
TIME = 2019-04-07T19:00:15.000Z	 LON = -77.06402	 LAT = 38.851301667	 ALT = 115.2	 SPEED = 0.2G (raw) -0.32,-0.20,0.84
TIME = 2019-04-07T19:00:16.000Z	 LON = -77.06402	 LAT = 38.851301667	 ALT = 115.2	 SPEED = 0.3G (raw) -0.31,-0.22,0.84
TIME = 2019-04-07T19:00:17.000Z	 LON = -77.064018333	 LAT = 38.851305	 ALT = 115.2	 SPEED = 0.3G (raw) -0.33,-0.25,0.94
TIME = 2019-04-07T19:00:18.000Z	 LON = -77.064016667	 LAT = 38.851306667	 ALT = 115.2	 SPEED = 0.3G (raw) -0.34,-0.16,0.92
TIME = 2019-04-07T19:00:19.000Z	 LON = -77.064016667	 LAT = 38.85131	 ALT = 115.2	 SPEED = 0.3G (raw) -0.35,-0.17,0.91
TIME = 2019-04-07T19:00:20.000Z	 LON = -77.064016667	 LAT = 38.851311667	 ALT = 115.2	 SPEED = 0.3G (raw) -0.32,-0.15,0.87
TIME = 2019-04-07T19:00:21.000Z	 LON = -77.064016667	 LAT = 38.851313333	 ALT = 115.0	 SPEED = 0.3G (raw) -0.29,-0.19,0.94
TIME = 2019-04-07T19:00:22.000Z	 LON = -77.064011667	 LAT = 38.851313333	 ALT = 114.9	 SPEED = 0.3G (raw) -0.27,-0.21,0.90
TIME = 2019-04-07T19:00:23.000Z	 LON = -77.064008333	 LAT = 38.851313333	 ALT = 114.7	 SPEED = 0.3G (raw) -0.30,-0.14,0.92
TIME = 2019-04-07T19:00:24.000Z	 LON = -77.063995	 LAT = 38.85132	 ALT = 114.2	 SPEED = 0.3G (raw) -0.30,-0.12,0.86
TIME = 2019-04-07T19:00:25.000Z	 LON = -77.063991667	 LAT = 38.85132	 ALT = 114.0	 SPEED = 0.3G (raw) -0.27,-0.17,0.93
TIME = 2019-04-07T19:00:26.000Z	 LON = -77.06399	 LAT = 38.851323333	 ALT = 114.0	 SPEED = 0.3G (raw) -0.31,-0.14,0.87
TIME = 2019-04-07T19:00:27.000Z	 LON = -77.06399	 LAT = 38.851325	 ALT = 114.0	 SPEED = 0.3G (raw) -0.24,-0.10,0.95
TIME = 2019-04-07T19:00:28.000Z	 LON = -77.06399	 LAT = 38.851326667	 ALT = 114.0	 SPEED = 0.3G (raw) -0.24,-0.13,0.95
TIME = 2019-04-07T19:00:29.000Z	 LON = -77.063988333	 LAT = 38.85133	 ALT = 114.0	 SPEED = 0.3G (raw) -0.18,-0.16,0.96
TIME = 2019-04-07T19:00:30.000Z	 LON = -77.063988333	 LAT = 38.851331667	 ALT = 114.0	 SPEED = 0.3G (raw) -0.15,-0.13,0.96
TIME = 2019-04-07T19:00:31.000Z	 LON = -77.063986667	 LAT = 38.851333333	 ALT = 114.0	 SPEED = 0.3G (raw) -0.19,-0.08,0.86
TIME = 2019-04-07T19:00:32.000Z	 LON = -77.06401	 LAT = 38.851341667	 ALT = 113.8	 SPEED = 0.4G (raw) -0.12,-0.18,0.93
TIME = 2019-04-07T19:00:33.000Z	 LON = -77.064003333	 LAT = 38.851356667	 ALT = 113.6	 SPEED = 0.3G (raw) -0.16,-0.16,0.92
TIME = 2019-04-07T19:00:34.000Z	 LON = -77.064005	 LAT = 38.851371667	 ALT = 113.4	 SPEED = 0.4G (raw) -0.14,-0.19,0.97
TIME = 2019-04-07T19:00:35.000Z	 LON = -77.064006667	 LAT = 38.851381667	 ALT = 113.3	 SPEED = 0.4G (raw) -0.24,-0.22,0.84
TIME = 2019-04-07T19:00:36.000Z	 LON = -77.064011667	 LAT = 38.851385	 ALT = 113.2	 SPEED = 0.3G (raw) -0.17,-0.22,1.04
TIME = 2019-04-07T19:00:37.000Z	 LON = -77.064	 LAT = 38.85139	 ALT = 113.2	 SPEED = 0.3G (raw) -0.19,-0.29,1.06
TIME = 2019-04-07T19:00:38.000Z	 LON = -77.063996667	 LAT = 38.85139	 ALT = 113.1	 SPEED = 0.3G (raw) -0.20,-0.20,0.65
TIME = 2019-04-07T19:00:39.000Z	 LON = -77.063985	 LAT = 38.851391667	 ALT = 113.0	 SPEED = 0.4G (raw) -0.07,-0.18,0.90
TIME = 2019-04-07T19:00:40.000Z	 LON = -77.063971667	 LAT = 38.851393333	 ALT = 112.9	 SPEED = 0.6G (raw) -0.13,-0.24,0.73
TIME = 2019-04-07T19:00:41.000Z	 LON = -77.063941667	 LAT = 38.851401667	 ALT = 112.6	 SPEED = 1.0G (raw) -0.13,-0.31,0.98
TIME = 2019-04-07T19:00:42.000Z	 LON = -77.063916667	 LAT = 38.851406667	 ALT = 112.3	 SPEED = 1.2G (raw) -0.17,-0.21,0.96
TIME = 2019-04-07T19:00:43.000Z	 LON = -77.063893333	 LAT = 38.851415	 ALT = 111.9	 SPEED = 1.3G (raw) -0.16,-0.26,0.90
